Question,Answer
What is your level of proficiency in eng?,Professional
How many years of work experience do you have with Bulma (CSS Framework)?,0
How many years of work experience do you have with AWS Lambda?,0
How many years of work experience do you have with Oracle SQL Developer?,0
How many years of work experience do you have with Spring Framework?,0
How many years of work experience do you have with React Native?,0
How many years of work experience do you have with Programming?,1
How many years of work experience do you have with Java?,1
How many years of work experience do you have with Web Scraping?,1
How many years of work experience do you have with Connectors?,0
How many years of work experience do you have with Next.js?,0
How many years of work experience do you have with Django?,1
How many years of work experience do you have with DAX?,0
How many years of work experience do you have with Git?,1
How many years of work experience do you have with Databases?,2
Mobile phone number, +91 7013093650
How many years of work experience do you have with Figma (Software)?,0
How many years of work experience do you have with GraphQL?,0
Description,
How many years of work experience do you have with Microsoft Azure?,0
Major / Field of study,
How many years of work experience do you have with Sketch App?,0
How many years of work experience do you have with Data Structures?,0
How many years of urn:li:industry:6 experience do you currently have?,1
How many years of work experience do you have with Flask?,0
How many years of work experience do you have with Graphic Design?,0
"Are you willing to take a drug test, in accordance with local law/regulations?",Yes
How many years of work experience do you have with Creative Design?,0
How many years of work experience do you have with WordPress?,0
How many years of work experience do you have with HTML5?,1
How many years of work experience do you have with Tableau?,0
How many years of urn:li:industry:96 experience do you currently have?,0
How many years of work experience do you have with Adobe Creative Suite?,0
How many years of work experience do you have with Marketing?,0
How many years of work experience do you have with Microsoft Excel?,1
How many years of work experience do you have with Scripting?,1
How many years of work experience do you have with PostgreSQL?,1
How many years of work experience do you have with TypeScript?,0
How many years of work experience do you have with Business Analysis?,1
State / Province,
How many years of work experience do you have with Angular?,0
How many years of work experience do you have with Amazon Web Services (AWS)?,2
First name,
How many years of work experience do you have with Webflow?,0
How many years of work experience do you have with Jira?,1
How many years of work experience do you have with Test Automation?,0
How many years of work experience do you have with Chrome DevTools?,0
How many years of work experience do you have with Software Development?,2
School,
How many years of work experience do you have with RESTful WebServices?,0
Do you speak English?,Yes
How many years of work experience do you have with Machine Learning?,0
How many years of work experience do you have with Azure SQL?,0
City,
How many years of work experience do you have with Data Engineering?,1
How many years of work experience do you have with JavaScript?,1
Are you comfortable working in a hybrid setting?,Yes
Are you comfortable working in a remote setting?,Yes
How many years of work experience do you have with Blockchain?,0
How many years of work experience do you have with Kotlin?,0
"Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?",Yes
Are you able to join the position in 15 weeks?,Yes
How many years of work experience do you have with Data Analytics?,0
How many years of work experience do you have with Hadoop?,0
How many years of work experience do you have with Functional Requirements?,1
Country,
How many years of work experience do you have with Sketching?,0
How many years of work experience do you have with Embedded Systems?,0
How many years of work experience do you have with IBM SPSS?,0
How many years of work experience do you have with Adobe XD?,0
How many years of work experience do you have with Scrapy Framework?,1
How many years of work experience do you have with Firebase?,0
How many years of work experience do you have with Salesforce.com?,0
How many years of urn:li:industry:84 experience do you currently have?,1
How many years of work experience do you have with Three.js?,0
How many years of work experience do you have with AppDynamics?,0
How many years of work experience do you have with Kafka Streams?,0
How many years of work experience do you have with Microsoft Visual Studio Code?,3
How many years of work experience do you have with PyTorch?,0
How many years of work experience do you have with Canva?,1
How many years of work experience do you have with Data Scraping?,1
How many years of work experience do you have with Blogging?,0
Your title,
How many years of work experience do you have with C++?,0
How many years of work experience do you have with jQuery?,0
How many years of work experience do you have with Technical Support?,1
Street address line 1,
How many years of work experience do you have with Microsoft Power BI?,1
How many years of work experience do you have with Continuous Integration and Continuous Delivery (CI/CD)?,0
How many years of work experience do you have with Web Development?,0
How many years of work experience do you have with XML?,0
How many years of work experience do you have with Open-Source Software?,0
How many years of work experience do you have with Data Modeling?,1
