Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Hands-On Introduction: Data Engineering,"<p><b>Suggested prerequisites</b></p>
<ul>
<li>Know basic Python data types, control structures, functions, and classes.</li>
<li>Have a good enough understanding of SQL to write queries to extract, transform, and load data in Apache Airflow pipelines.</li>
<li>Have some knowledge of Bash script or Unix for basic Airflow installation and administration.</li>
<li>Be familiar with text editors.</li>
<li>Know some of the basic principles behind cloud computing.</li>
</ul>
<p><b>Projects</b></p>
<ul>
<li>Author, import, and execute a basic one-task DAG in Airflow: one Python file with one DAG and one task.</li>
<li>Author, import, and execute a basic two-task DAG in Airflow, where one task depends on the completion of another task.</li>
<li>Build a DAG to analyze top-level domains.</li>
</ul>
<p>In this course, instructor Vinoo Ganesh gives you an overview of the fundamental skills you need to become a data engineer. Learn how to solve complex data problems in a scalable, concrete way. Explore the core principles of the data engineer toolkit—including ELT, OLTP/OLAP, orchestration, DAGs, and more—as well as how to set up a local Apache Airflow deployment and full-scale data engineering ETL pipeline. Along the way, Vinoo helps you boost your technical skill set using real-world, hands-on scenarios.</p>
<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.</p>",Course,2023-09-19 06:49 UTC,N/A,false,N/A,
Node.js Essential Training,"Node.js is a powerful tool for controlling servers, building web applications, and creating event-driven programs. And it takes JavaScript—a language familiar to all web developers—out of the browser. With Node.js, you can build applications that run on your laptop or even the cloud.
In this course, learn the essentials of Node.js and start creating your own JavaScript applications. Instructor Eve Porcello covers all of the basics, showing how to install Node.js and work with the Node.js core, which includes standard input, standard output, the module system, the file system, and how to write and run JavaScript on the server. Upon wrapping up this course, you’ll be equipped with fundamental Node.js concepts and techniques that you can put to use in your next project.",Course,2023-09-19 06:45 UTC,N/A,true,N/A,
Machine Learning with Python: Decision Trees,"Decision trees are one of the most common approaches used in supervised machine learning. Building a decision tree allows you to model complex relationships between variables by mimicking if-then-else decision-making as a naturally occurring human behavior. In this course, instructor Frederick Nwanganga gives you an overview of how to collect, explore, and transform your data in preparation for building decision tree models in Python.<br><br>Discover the power of decision trees, what they are, how they are built, and how they quantify impurity within a partition. Get tips from Frederick on building, visualizing, pruning, and using a decision tree in Python including classification trees and regression trees. By the end of this course, you’ll be ready to start making your own models and applying them to different domains.",Course,2023-06-05 10:02 UTC,N/A,false,N/A,
Intermediate SQL for Data Scientists,"There is an increasing need for data scientists and analysts to understand relational data stores. Organizations have long used SQL databases to store transactional data as well as business intelligence related data. This course was designed for data scientists who need to work with SQL databases. Specifically, it was designed to help these professionals learn how to perform common data science tasks, including exploration and extraction of data within relational databases.<br><br>Instructor Dan Sullivan kicks off the course with a brief overview of SQL data manipulation and data definition commands. He then focuses on how to use SQL queries to prepare data for analysis; leverage statistical functions to better understand that data; and work with aggregates, window operations, and more.",Course,2023-06-12 10:01 UTC,N/A,false,N/A,
Introduction to Artificial Intelligence,"<p>Computer scientists are just a small slice of people working in artificial intelligence. Most of the people working in AI are project managers, product managers, directors, and executives. People just like you. This course helps you grasp key concepts in artificial intelligence. You’ll see how AI can enhance your products, life, and career. AI has been around for over half a century. Even with its huge strides, the core ideas in machine learning and neural networks are still accessible.
</p><p> 
This course is designed for project managers, product managers, directors, executives, and students starting a career in AI. Get a high-level overview of the top tools in the field. First, see what it means for a system to display “intelligence.”  Then, learn algorithms and techniques involved in machine learning, artificial neural networks, and deep learning. Once simplified, AI looks less like magic and more like an exciting new set of technology tools.",Course,2023-09-06 08:34 UTC,N/A,false,N/A,
Node.js: Security,"How can you protect your Node.js applications from potential threats? In this course, Emmanuel Henri shares best practices that can help Node.js developers secure their apps at all levels, from packages to the server level. Emmanuel helps to familiarize you with the most common security risks in Node.js., including cross-site scripting and server-side injection. He dives into best practices around packages, data, and the server level. Plus, he covers tools—such as Snyk and Burp—that you can use to test your Node.js projects.",Course,2021-07-10 18:17 UTC,N/A,false,N/A,
Programming Foundations: Object-Oriented Design,"All good software starts with a great design. Object-oriented design helps developers plan applications before they write a single line of code, and break down ideas into reusable and maintainable components. This course focuses on the foundational concepts, teaching them in a fun, interactive way to help you quickly develop your skills. Tag team Olivia and Barron Stone introduce you to the concepts and terms—objects, classes, abstraction, inheritance, and more—that you need to get started. They then show how to take the requirements for an app, identify use cases, and map out classes using Universal Modeling Language (UML). The final design can then be translated into code using one of the many popular object-oriented programming languages, such as Java, C#, Ruby, or Python.",Course,2021-11-05 18:19 UTC,N/A,false,N/A,
React.js: Building an Interface,"React is a JavaScript library with reusable components and a unique data rendering approach. Web interfaces that you create with React are flexible, fast, and lightweight. In this course, instructor Ray Villalobos reviews component architecture in React and covers key skills that you need to be able to build interfaces. Ray steps through how to install React and get started with components, debugging, and variables. He explains how you can pass data to a component, use the useState hook and conditional classes, and toggle items by passing the state to a sub-component and using values to hide or show sub-components. Ray describes how you can delete records, search with a filtered array, set up a sort, and more. He shows how you can finish up your application by creating the code for adding appointments.",Course,2021-07-28 15:00 UTC,N/A,false,N/A,
Programming Foundations: Fundamentals,"Gain the core knowledge to begin programming in any language. In this course, instructor Annyce Davis uses Python to explore the core concepts and structure of programming languages and helps you grasp what’s going on under the hood. After going over basic statements and expressions in Python, Annyce explores strings, variables, and conditional code—which are common topics in all programming languages. She also shows how to work with different kinds of data and troubleshoot a variety of errors. Along the way, she compares how code is written in several different languages and provides guidance on the criteria to use when choosing a programming language. Upon wrapping up this course, you’ll have the knowledge you need to continue your coding journey in whichever language piques your interest.",Course,2022-12-24 06:25 UTC,N/A,false,N/A,
Final Cut Pro X 10.6 Essential Training,"Learn how to edit video and create polished, professional-looking projects with Final Cut Pro X 10.5, the flagship nonlinear video editing software from Apple. Instructor Nick Harauz covers all phases of post-production—from ingest and organization to editing and refining clips in the timeline, correcting audio, managing media, and delivering the final project. He also covers primary and secondary color correction, and shows how to use effects to change the look and feel of video, audio, and graphics. Each stage of the post-production workflow is explained thoroughly and concisely, using real-world examples and projects. By the end of the course, you should be able to navigate the Final Cut Pro interface with speed and ease, and use its toolset to breathe new life into your productions.",Course,2021-01-24 11:11 UTC,N/A,false,N/A,
