Question,Answer
How many years of work experience do you have with Android SDK?,1
How many years of work experience do you have with Full-Stack Development?,1
Are you legally authorized to work in the United States?,No
Cover letter,
How many years of work experience do you have with PySpark?,1
How many years of work experience do you have with Tailwind CSS?,0
How many years of work experience do you have with Relational Databases?,1
Race/Ethnicity,Asian (Not Hispanic or Latino)
How many years of work experience do you have with SQL?,2
How many years of work experience do you have with Nuxt.js?,0
Are you legally authorized to work in CA?,No
Are you able to join the position in 1 weeks?,Yes
How many years of DSGN experience do you currently have?,0
How many years of work experience do you have with Microsoft PowerPoint?,1
How many years of work experience do you have with Web Crawling?,1
How many years of work experience do you have with REST APIs?,1
How many years of work experience do you have with Design?,0
How many years of work experience do you have with Communication?,1
How many years of work experience do you have with PHP?,0
How many years of work experience do you have with Beautiful Soup?,1
How many years of work experience do you have with Shopify?,0
How many years of work experience do you have with Bash?,1
How many years of work experience do you have with C#?,0
State,
<strong>Disability</strong>,No
City,
Do you have a valid driver's license?,Yes
How many years of work experience do you have with Scala?,0
How many years of work experience do you have with Google Cloud Platform (GCP)?,0
How many years of work experience do you have with Node.js?,0
How many years of work experience do you have with Big Data?,1
Company,
How many years of work experience do you have with Laravel?,0
Photo, -1878125954.jpg
ZIP / Postal Code,
Last name,
How many years of work experience do you have with Mocha (JavaScript Framework)?,0
How many years of work experience do you have with SQL Server Integration Services (SSIS)?,0
How many years of work experience do you have with Ruby on Rails?,0
How many years of work experience do you have with SQL Server Management Studio?,2
How many years of work experience do you have with BigSQL?,0
How many years of work experience do you have with SASS?,0
How many years of work experience do you have with Adobe Experience Manager (AEM)?,0
How many years of work experience do you have with Search Engine Optimization (SEO)?,0
Your title,
How many years of work experience do you have with Data Visualization?,1
Are you comfortable working in an onsite setting?,Yes
How many years of work experience do you have with Android?,0
How many years of ANLS experience do you currently have?,1
Have you completed the following level of education: Bachelor's Degree?,Yes
How many years of work experience do you have with SEO Audits?,0
How many years of work experience do you have with Market Research?,1
How many years of work experience do you have with Swift (Programming Language)?,1
How many years of work experience do you have with SAS (Software)?,0
How many years of work experience do you have with AWS CloudFormation?,1
How many years of work experience do you have with Infrastructure?,1
We must fill this position urgently. Can you start immediately?,Yes
How many years of work experience do you have with Oracle Database?,2
How many years of work experience do you have with Snowflake Cloud?,0
How many years of IT experience do you currently have?,1
How many years of work experience do you have with Tomcat?,2
How many years of work experience do you have with JSON?,0
How many years of work experience do you have with Selenium?,1
How many years of work experience do you have with AngularJS?,0
How many years of work experience do you have with Web Design?,0
How many years of work experience do you have with Adobe Photoshop?,0
How many years of work experience do you have with Cascading Style Sheets (CSS)?,0
How many years of work experience do you have with .NET Framework?,0
Veteran status,NotProtectedVeteran
State / Province,
How many years of work experience do you have with Vue.js?,0
How many years of work experience do you have with Data Analysis?,1
How many years of work experience do you have with Subversion?,0
How many years of work experience do you have with Linux?,1
How many years of work experience do you have with Network Switches?,0
How many years of work experience do you have with Facebook?,0
How many years of work experience do you have with Database Testing?,0
How many years of work experience do you have with API Development?,2
How many years of work experience do you have with Apache Spark?,1
How many years of work experience do you have with React.js?,2
How many years of work experience do you have with Azure Databricks?,0
Gender,Male
How many years of work experience do you have with IT Automation?,1
How many years of work experience do you have with Pandas (Software)?,1
Country,
How many years of work experience do you have with Bootstrap (Framework)?,1
How many years of work experience do you have with Computer Hardware?,0
How many years of work experience do you have with Artificial Intelligence (AI)?,0
Degree,
Are you legally authorized to work in IN?,Yes
How many years of work experience do you have with Business?,1
How many years of work experience do you have with Redux.js?,0
How many years of work experience do you have with HTML?,2
Please submit a resume or LinkedIn profile,1686658.pdf
How many years of work experience do you have with MySQL?,1
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
How many years of work experience do you have with PL/SQL?,1
How many years of work experience do you have with MongoDB?,1
How many years of urn:li:industry:4 experience do you currently have?,1
